Epoch: [11][60/97], lr: 0.01000	Time 0.325 (0.334)	Data 0.000 (0.021)	Loss 3.3409 (3.9019)	Prec@1 75.000 (73.207)	Prec@5 96.094 (97.054)
Epoch: [11][70/97], lr: 0.01000	Time 0.332 (0.333)	Data 0.000 (0.020)	Loss 3.6313 (3.8958)	Prec@1 77.344 (73.283)	Prec@5 96.875 (97.128)
Epoch: [11][80/97], lr: 0.01000	Time 0.327 (0.333)	Data 0.000 (0.020)	Loss 4.0750 (3.9072)	Prec@1 71.875 (73.139)	Prec@5 94.531 (97.039)
Epoch: [11][90/97], lr: 0.01000	Time 0.327 (0.333)	Data 0.000 (0.020)	Loss 3.8006 (3.8964)	Prec@1 71.875 (73.274)	Prec@5 95.312 (97.021)
Epoch: [11][96/97], lr: 0.01000	Time 0.320 (0.332)	Data 0.000 (0.020)	Loss 3.6327 (3.8796)	Prec@1 76.271 (73.376)	Prec@5 95.763 (97.074)
Epoch: [12][0/97], lr: 0.01000	Time 0.435 (0.435)	Data 0.212 (0.212)	Loss 3.7980 (3.7980)	Prec@1 75.781 (75.781)	Prec@5 99.219 (99.219)
Epoch: [12][10/97], lr: 0.01000	Time 0.326 (0.343)	Data 0.000 (0.034)	Loss 3.6912 (3.6747)	Prec@1 73.438 (74.219)	Prec@5 97.656 (97.940)
Epoch: [12][20/97], lr: 0.01000	Time 0.324 (0.336)	Data 0.000 (0.026)	Loss 4.4880 (3.7206)	Prec@1 71.875 (74.330)	Prec@5 99.219 (97.768)
Epoch: [12][30/97], lr: 0.01000	Time 0.325 (0.335)	Data 0.000 (0.023)	Loss 3.4376 (3.7387)	Prec@1 75.781 (74.118)	Prec@5 96.094 (97.228)
Epoch: [12][40/97], lr: 0.01000	Time 0.329 (0.334)	Data 0.000 (0.022)	Loss 3.0833 (3.7780)	Prec@1 81.250 (74.047)	Prec@5 96.875 (97.199)
Epoch: [12][50/97], lr: 0.01000	Time 0.323 (0.333)	Data 0.000 (0.021)	Loss 3.8223 (3.7370)	Prec@1 74.219 (74.112)	Prec@5 97.656 (97.197)
Epoch: [12][60/97], lr: 0.01000	Time 0.327 (0.333)	Data 0.000 (0.020)	Loss 3.5774 (3.7626)	Prec@1 75.781 (74.014)	Prec@5 97.656 (97.144)
Epoch: [12][70/97], lr: 0.01000	Time 0.334 (0.333)	Data 0.000 (0.020)	Loss 3.3145 (3.7687)	Prec@1 76.562 (74.241)	Prec@5 97.656 (97.040)
Epoch: [12][80/97], lr: 0.01000	Time 0.329 (0.332)	Data 0.000 (0.020)	Loss 4.3328 (3.7445)	Prec@1 71.875 (74.421)	Prec@5 97.656 (97.155)
Epoch: [12][90/97], lr: 0.01000	Time 0.325 (0.332)	Data 0.000 (0.019)	Loss 2.8615 (3.7661)	Prec@1 79.688 (74.348)	Prec@5 97.656 (97.124)
Epoch: [12][96/97], lr: 0.01000	Time 0.311 (0.332)	Data 0.000 (0.020)	Loss 3.3620 (3.7581)	Prec@1 78.814 (74.472)	Prec@5 99.153 (97.179)
